web_1    | 2022-02-28T01:59:58.314932970Z [info] Sent 204 in 3ms
web_1    | 2022-02-28T01:59:58.314936290Z [info] Sent 204 in 2ms
web_1    | 2022-02-28T01:59:58.314939611Z [info] Sent 204 in 2ms
web_1    | 2022-02-28T01:59:58.314943052Z [info] Sent 204 in 1ms
web_1    | 2022-02-28T01:59:58.314946501Z [info] Sent 204 in 947µs
web_1    | 2022-02-28T01:59:58.314951353Z [info] Sent 204 in 1ms
web_1    | 2022-02-28T01:59:58.314954778Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.314958260Z [info] Sent 204 in 206µs
web_1    | 2022-02-28T01:59:58.314961968Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.314965304Z [info] Sent 204 in 154µs
web_1    | 2022-02-28T01:59:58.314968750Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.314972212Z [info] Sent 204 in 167µs
web_1    | 2022-02-28T01:59:58.314975633Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.314978981Z [info] Sent 204 in 189µs
web_1    | 2022-02-28T01:59:58.314982430Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.314985793Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.314989287Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.314992619Z [info] Sent 204 in 218µs
web_1    | 2022-02-28T01:59:58.314996082Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.314999554Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.315026190Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.315030008Z [info] Sent 204 in 166µs
web_1    | 2022-02-28T01:59:58.315033514Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.315036988Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.315040348Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.315043688Z [info] Sent 204 in 223µs
web_1    | 2022-02-28T01:59:58.315047001Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.315050483Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.315053995Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.315057441Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.315061008Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.315064351Z [info] Sent 204 in 139µs
web_1    | 2022-02-28T01:59:58.315067929Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.315071237Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.315074748Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.315082592Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.315086325Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.315089647Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.315093012Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T01:59:58.315096367Z [info] Sent 204 in 3ms
web_1    | 2022-02-28T01:59:58.315099746Z [info] Sent 204 in 2ms
web_1    | 2022-02-28T01:59:58.315108857Z [info] Sent 204 in 2ms
web_1    | 2022-02-28T01:59:58.315112325Z [info] Sent 204 in 2ms
web_1    | 2022-02-28T01:59:58.315115666Z [info] Sent 204 in 627µs
web_1    | 2022-02-28T01:59:58.315119036Z [info] Sent 204 in 2ms
web_1    | 2022-02-28T01:59:58.315122348Z [info] Sent 204 in 2ms
web_1    | 2022-02-28T01:59:58.315126062Z [info] Sent 204 in 2ms
web_1    | 2022-02-28T01:59:58.315129392Z [info] Sent 204 in 2ms
web_1    | 2022-02-28T01:59:58.315132694Z [info] Sent 204 in 2ms
web_1    | 2022-02-28T01:59:58.315136132Z [info] Sent 204 in 2ms
web_1    | 2022-02-28T01:59:58.315139451Z [info] Sent 204 in 2ms
web_1    | 2022-02-28T01:59:58.315142757Z [info] Sent 204 in 2ms
web_1    | 2022-02-28T01:59:58.315146181Z [info] Sent 204 in 2ms
web_1    | 2022-02-28T01:59:58.315149658Z [info] Sent 204 in 2ms
web_1    | 2022-02-28T01:59:58.821563907Z [error] Failed handling telegram webhook with false, answering 204
web_1    | 2022-02-28T01:59:58.838893869Z [info] Sent 204 in 1028ms
web_1    | 2022-02-28T01:59:58.838901643Z [error] Failed handling telegram webhook with false, answering 204
web_1    | 2022-02-28T01:59:58.838905711Z [info] Sent 204 in 1035ms
web_1    | 2022-02-28T01:59:58.838909231Z [info] Publishing in MyScrobblesBot.Events.TelegramMessage
web_1    | 2022-02-28T01:59:58.838913159Z [info] Message enqueued for later processing
web_1    | 2022-02-28T01:59:58.838916662Z [info] Sent 204 in 1027ms
web_1    | 2022-02-28T01:59:58.838920542Z [info] Elixir.MyScrobblesBot.Telegram.Consumers.MessageHandler handling message
web_1    | 2022-02-28T01:59:58.838924026Z [info] Publishing in MyScrobblesBot.Events.TelegramMessage
web_1    | 2022-02-28T01:59:58.838927554Z [info] Message enqueued for later processing
web_1    | 2022-02-28T01:59:58.838930925Z [info] Sent 204 in 1038ms
web_1    | 2022-02-28T01:59:58.838934318Z %MyScrobblesBot.Telegram.Message{
web_1    | 2022-02-28T01:59:58.838937658Z   chat_id: "-1001176710138",
web_1    | 2022-02-28T01:59:58.838941087Z   chat_type: "supergroup",
web_1    | 2022-02-28T01:59:58.838944464Z   from: %MyScrobblesBot.Telegram.Message.From{
web_1    | 2022-02-28T01:59:58.838949389Z     first_name: "zuly",
web_1    | 2022-02-28T01:59:58.838952896Z     id: nil,
web_1    | 2022-02-28T01:59:58.838956272Z     language_code: "pt-br",
web_1    | 2022-02-28T01:59:58.838959730Z     telegram_id: "1225497535",
web_1    | 2022-02-28T01:59:58.838963239Z     username: "cccarneiro"
